LynkUserID,Password,LotNumber,PhoneNo
DEM0000188,EYBPG5PHV5,17417506,5105105310
DEM0000189,EDSGQAHKVV,17417386,5105105311
DEM0000190,47EZ9VW7EZ,17416936,5105105312
DEM0000191,79YGMKNKKS,17416436,5105105313
DEM0000192,RZ3KKD6NB6,16810776,5105105314
DEM0000193,2DWGWUWVRP,17416026,5105105315
DEM0000194,6R5B7A36P7,17415216,5105105316
DEMOG,DEMOG1,17415256,5105105317
DEM0000179 ,6N4T6GBG5Z,17415096,5105105318
DEM0000180,SYB98GBR8Z,17414776,5105105319
DEM0000181,XXVRNZ9Z5Q,17406646,5105105320
DEM0000182,W9MMNAH3XH,17413996,5105105321
DEM0000183,GAH6V745ET,17413786,5105105322
DEM0000184,RJ9WRSKJJP,17413646,5105105323
DEM0000185,WX4437UDAR,17243486,5105105324
DEM0000186,BBCQ2BVXGU,17060746,5105105325
DEM0000187,9YWMH86EAP,15389346,5105105326
DEM0000188,EYBPG5PHV5,17406226,5105105327
DEM0000189,EDSGQAHKVV,17390806,5105105328
DEM0000190,47EZ9VW7EZ,17411716,5105105329
DEM0000191,79YGMKNKKS,17411876,5105105330
DEM0000192,RZ3KKD6NB6,16913106,5105105331
DEM0000193,2DWGWUWVRP,17412186,5105105332
DEM0000194,6R5B7A36P7,17193526,5105105333
DEMOG,DEMOG1,17155236,5105105334
DEM0000179 ,6N4T6GBG5Z,17403356,5105105335
DEM0000180,SYB98GBR8Z,17410326,5105105336
DEM0000181,XXVRNZ9Z5Q,17279106,5105105337
DEM0000182,W9MMNAH3XH,17230786,5105105338
DEM0000183,GAH6V745ET,17280036,5105105339
DEM0000184,RJ9WRSKJJP,16744246,5105105340
DEM0000185,WX4437UDAR,17409966,5105105341
DEM0000186,BBCQ2BVXGU,17163056,5105105342
DEM0000187,9YWMH86EAP,17346476,5105105343
DEM0000188,EYBPG5PHV5,17409526,5105105344
DEM0000189,EDSGQAHKVV,17407576,5105105345
DEM0000190,47EZ9VW7EZ,16783946,5105105346
DEM0000191,79YGMKNKKS,17364106,5105105347
DEM0000192,RZ3KKD6NB6,17259446,5105105348
DEM0000193,2DWGWUWVRP,17390966,5105105349
DEM0000194,6R5B7A36P7,17408646,5105105350
DEMOG,DEMOG1,17363696,5105105351
DEM0000179 ,6N4T6GBG5Z,17397866,5105105352
DEM0000180,SYB98GBR8Z,17408166,5105105353
DEM0000181,XXVRNZ9Z5Q,17407516,5105105354
DEM0000182,W9MMNAH3XH,17349986,5105105355
DEM0000183,GAH6V745ET,17404906,5105105356
DEM0000184,RJ9WRSKJJP,15386736,5105105357
DEM0000185,WX4437UDAR,17407456,5105105358
DEM0000186,BBCQ2BVXGU,17304886,5105105359
DEM0000187,9YWMH86EAP,16145726,5105105360
DEM0000188,EYBPG5PHV5,17406636,5105105361
DEM0000189,EDSGQAHKVV,17303496,5105105362
DEM0000190,47EZ9VW7EZ,17393816,5105105363
DEM0000191,79YGMKNKKS,17403756,5105105364
DEM0000192,RZ3KKD6NB6,17388026,5105105365
DEM0000193,2DWGWUWVRP,17179956,5105105366
DEM0000194,6R5B7A36P7,17247176,5105105367
DEMOG,DEMOG1,17401266,5105105368
DEM0000179 ,6N4T6GBG5Z,17402266,5105105369
DEM0000180,SYB98GBR8Z,17402706,5105105370
DEM0000181,XXVRNZ9Z5Q,17342046,5105105371
DEM0000182,W9MMNAH3XH,17357596,5105105372
DEM0000183,GAH6V745ET,17390976,5105105373
DEM0000184,RJ9WRSKJJP,17283816,5105105374
DEM0000185,WX4437UDAR,17402536,5105105375
DEM0000186,BBCQ2BVXGU,17399156,5105105376
DEM0000187,9YWMH86EAP,17282356,5105105377
DEM0000188,EYBPG5PHV5,17043656,5105105378
DEM0000189,EDSGQAHKVV,16726816,5105105379
DEM0000190,47EZ9VW7EZ,17397946,5105105380
DEM0000191,79YGMKNKKS,17299646,5105105381
DEM0000192,RZ3KKD6NB6,17398586,5105105382
DEM0000193,2DWGWUWVRP,17372486,5105105383
DEM0000194,6R5B7A36P7,17396476,5105105384
DEMOG,DEMOG1,17103766,5105105385
DEM0000179 ,6N4T6GBG5Z,16824826,5105105386
DEM0000180,SYB98GBR8Z,17394566,5105105387
DEM0000181,XXVRNZ9Z5Q,17279366,5105105388
DEM0000182,W9MMNAH3XH,16615346,5105105389
DEM0000183,GAH6V745ET,17390696,5105105390
DEM0000184,RJ9WRSKJJP,16423166,5105105391
DEM0000185,WX4437UDAR,17387486,5105105392
DEM0000186,BBCQ2BVXGU,15795786,5105105393
DEM0000187,9YWMH86EAP,15040666,5105105394
DEM0000188,EYBPG5PHV5,17374586,5105105395
DEM0000189,EDSGQAHKVV,17144336,5105105396
DEM0000190,47EZ9VW7EZ,15603026,5105105397
